;naam;straatnaam;nummeraanduiding;postcode;plaatsnaam;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES
BevoegdGezag;Naam;Straatnaam;Adres;Adres;Adres;Adres;Adres;BevoegdGezag;BevoegdGezag;BevoegdGezag
13839;BC Master Frankeskoalle;Zetveld;38;9202 LM;DRACHTEN;90;SMALLINGERLAND;Openbaar;511539300;                                                                                
13878;BC Openb BO Ameland;Jelmeraweg;1;9162 EA;BALLUM;60;AMELAND;Openbaar;519555555;                                                                                
20012;Ver. v. Prot. Chr. Basisond.;Kerkplein;6;5314 AT;BRUCHEM;297;ZALTBOMMEL;Protestants-Christelijk;418642838;                                                                                
20183;Ver. Chr. Ond. Ref. Grondsl.;Anna van Burenlaan;24;2404 GM;ALPHEN AAN DEN RIJN;484;ALPHEN AAN DEN RIJN;Reformatorisch;172472352;                                                                                
20203;Sch.ver. Ond. het Almelo e.o.;Albardastraat;35;7611 BE;AADORP;141;ALMELO;Algemeen bijzonder;546863213;                                                                                
20210;Stichting Matthijsje;Oosterstreek;23;8388 NA;OOSTERSTREEK;98;WESTSTELLINGWERF;Algemeen bijzonder;561432690;                                                                                
20243;Ver Stg Insth Ned Herv;Willem de Zwijgerlaan;64;2741 DD;WADDINXVEEN;627;WADDINXVEEN;Protestants-Christelijk;          ;                                                                                
20252;Ver. Jenaplanonderw. Oudewater;De Cope;26;3421 XL;OUDEWATER;589;OUDEWATER;Algemeen bijzonder;348564490;www.klavertje4oudewater.nl
20253;Ver. de Vrije School Assen;Tuinstraat;1;9404 KK;ASSEN;106;ASSEN;Antroposofisch;592314694;                                                                                
20254;Montessori Vereniging Zeeland;Frambozestraat;29;4462 EK;GOES;664;GOES;Algemeen bijzonder;113216707;                                                                                
20281;Stichting Lucas Onderwijs;Saffierhorst;105;2592 GK;'S-GRAVENHAGE;518;S GRAVENHAGE;Samenwerking PC, RK;703001100;www.lucasonderwijs.nl
20450;Ver. Basisond. te Aagtekerke;Prelaatweg;22;4363 NE;AAGTEKERKE;717;VEERE;Protestants-Christelijk;118582693;www.versluijsschool.nl
20671;Westlandse Stg. Kath. Onderw.;De Ruijtbaan;83;2685 RS;POELDIJK;1783;WESTLAND;Rooms-Katholiek;174280446;www.wsko.nl
20905;Vereniging Instituut Schreuder;Van de Veldestraat;10;1071 CW;AMSTERDAM;363;AMSTERDAM;Protestants-Christelijk;206623388;                                                                                
20970;A'damse Sch.ver. Ond. en Ond.;Frederiksplein;37;1017 XL;AMSTERDAM;363;AMSTERDAM;Algemeen bijzonder;206400982;                                                                                
21464;St. Joodse Schol.gem.schap JBO;Noordbrabantstraat;15;1083 BE;AMSTERDAM;363;AMSTERDAM;Joods;206444191;www.jbo.nl
21478;Vereniging Eben Haezerschool;Duikerlaan;402;2903 AC;CAPELLE AAN DEN IJSSEL;502;CAPELLE AAN DEN IJSSEL;Protestants-Christelijk;104582706;www.ebenhaezer-capelle.nl
21971;Een School met de Bijbel;Merelplein;4;4281 PM;ANDEL;874;WOUDRICHEM;Protestants-Christelijk;183443095;www.dezaaierandel.nl
22544;Ver. CBO reform. grondsl. Goes;Merellaan;1;4461 RH;GOES;664;GOES;Reformatorisch;113228057;www.koelmanschoolgoes.nl
22622;VCB Laat de kind. tot Mij kom.;Oudelandseweg;102;2981 BV;RIDDERKERK;597;RIDDERKERK;Protestants-Christelijk;180427610;                                                                                
22712;Ver. st./ih schol. md Bijb. GG;Schoolstraat;36;4697 CL;SINT-ANNALAND;716;THOLEN;Protestants-Christelijk;166652670;www.smdbstalland.nl
22725;Stg. v. Interc. & Kath. Ond.;Nassaulaan;72;3116 EX;SCHIEDAM;606;SCHIEDAM;Samenwerking PC, RK;104264830;                                                                                
22765;Ver. Verstr. Ond. op GG Lisse;Schoolstraat;11-A;2161 HB;LISSE;553;LISSE;Protestants-Christelijk;252413099;www.deakkerlisse.nl
23064;Ver. Opr/Inst Vansch. GG Zeist;Bergweg;10;3701 JK;ZEIST;355;ZEIST;Protestants-Christelijk;306918858;                                                                                
23128;Quo Vadis. Stg. int.conf. k/pc;Koningin Wilhelminalaan;9;7415 KP;DEVENTER;150;DEVENTER;Interconfessioneel;570638570;www.stichtingquovadis.nl
23337;Ver. Prot. Chr. Onderw. Rhenen;Ericalaan;30;3911 XN;RHENEN;340;RHENEN;Protestants-Christelijk;317613985;www.ericaschool.nl
23440;Schoolvereniging 'Willemspark';Willem Witsenstraat;12;1077 AZ;AMSTERDAM;363;AMSTERDAM;Algemeen bijzonder;206400982;                                                                                
23545;Ver. tot het verstr. van bo/rg;Lange Dreef;8;4307 AD;OOSTERLAND;1676;SCHOUWEN-DUIVELAND;Reformatorisch;111643578;                                                                                
23674;Ver. een School met de Bijbel;Gasthuisstraat;7;3958 BL;AMERONGEN;1581;UTRECHTSE HEUVELRUG;Protestants-Christelijk;343451268;www.cbswilhelmina.nl
23805;Ver tt h Verstr v Ond;Molenweg;34;4341 BE;ARNEMUIDEN;687;MIDDELBURG;Protestants-Christelijk;118614448;                                                                                
23883;Ver. Kl.-/Bas.onderw. Nunspeet;F.A. Molijnlaan;69;8071 AC;NUNSPEET;302;NUNSPEET;Protestants-Christelijk;341263402;                                                                                
23948;Ver t Stg Insth Sch;Meidoornstraat;20-BG;8091 JX;WEZEP;269;OLDEBROEK;Protestants-Christelijk;383765869;                                                                                
23961;Stichting SPOLT;Vlasstraat;1;6093 EE;HEYTHUYSEN;1640;LEUDAL;Rooms-Katholiek;475550449;www.spolt.nl
24052;Stg. Alg. Bijz. Neutr. Onderw.;Elisabethstraat;5;4931 BD;GEERTRUIDENBERG;779;GEERTRUIDENBERG;Algemeen bijzonder;162514095;www.biekorf.nl
24065;Ver. Herv. Chr. Schoolonderw.;'t Vaartje;8;5165 NB;WASPIK;867;WAALWIJK;Protestants-Christelijk;416311379;www.cbsdebrug.nl
24078;Ver. v. Prot.-Chr. Basisond.;Het Kanteel;20;5146 CG;WAALWIJK;867;WAALWIJK;Protestants-Christelijk;416274653;                                                                                
24195;Ver. verstr. bo op Ger. Gr.sl.;Jan van Nassaustraat;3;8281 ZC;GENEMUIDEN;1896;ZWARTEWATERLAND;Reformatorisch;383854847;                                                                                
24207;Stg. St. Martinus v. Onderw.;Prinses Beatrixstraat;2;5911 BM;VENLO;983;VENLO;Rooms-Katholiek;773544355;                                                                                
24481;Ver. Basisond. Ref. Gr.sl.;Kosterijweg;25;3774 BG;KOOTWIJKERBROEK;203;BARNEVELD;Reformatorisch;342417960;                                                                                
24494;Ver.sticht./inst.Sch.md Bijbel;Vrijheidslaan;94;5306 BN;BRAKEL;297;ZALTBOMMEL;Protestants-Christelijk;418672220;www.wvobrakel.nl
24533;Vereniging CNS te Nunspeet;Edisonweg;23;8071 RC;NUNSPEET;302;NUNSPEET;Protestants-Christelijk;341270885;www.cnsnunspeet.net
24546;V Chr Nat Sch Giessen/Rijswijk;Wilgenhof;24;4283 JB;GIESSEN;874;WOUDRICHEM;Protestants-Christelijk;183441632;                                                                                
24597;R'damse Ver. v. Kath. Onderw.;K.P. van der Mandelelaan;80;3062 MB;ROTTERDAM;599;ROTTERDAM;Rooms-Katholiek;104537500;www.rvko.nl
24702;Ver. Chr. Nat. Schoolonderwijs;Prins Hendriklaan;27;3433 EH;NIEUWEGEIN;356;NIEUWEGEIN;Protestants-Christelijk;306052058;www.vcns.nl
24715;VCOG;Lindelaan;15;4043 MA;OPHEUSDEN;1740;NEDER-BETUWE;Reformatorisch;344644317;                                                                                
24844;Stichting VCO Oost Nederland;Vlierstraat;81;7544 GG;ENSCHEDE;153;ENSCHEDE;Protestants-Christelijk;534309440;www.vco-oostnederland.nl
24845;Ver. Ond. op Geref. Grondsl.;Grote Kreek;45;3079 CC;ROTTERDAM;599;ROTTERDAM;Protestants-Christelijk;104795226;                                                                                
24897;Ver. Onderw. Reform. Grondslag;Van Doornlaan;40;4386 AK;VLISSINGEN;718;VLISSINGEN;Reformatorisch;118462476;www.graafjanvlissingen.nl
25131;Stg. Nutsbasisschool Delden;Bernhardstraat;1;7491 EA;DELDEN;1735;HOF VAN TWENTE;Algemeen bijzonder;          ;                                                                                
25156;Amersfoortse Schoolvereniging;Johan v Oldenbarneveltln;23;3818 HA;AMERSFOORT;307;AMERSFOORT;Algemeen bijzonder;334613568;                                                                                
25170;St. Prot. Chr. Ond. Maasbracht;Hoofdstraat;47;6051 AK;MAASBRACHT;1641;MAASGOUW;Protestants-Christelijk;475461967;www.basisschooldevlinder.nl
25196;Ver. Onderw. Geref. Grondslag;Hofje van Gratie;15;2926 RD;KRIMPEN AAN DEN IJSSEL;542;KRIMPEN AAN DEN IJSSEL;Reformatorisch;180514318;www.sggkrimpen.nl
25351;Stichting Keender;Sterrebosstraat;2;7481 DD;HAAKSBERGEN;158;HAAKSBERGEN;Samenwerking Opb., RK;535723503;www.keender.nl
25664;St. Kath. Montess. Ond. Bussum;J.J.H. Verhulstlaan;13;1401 CS;BUSSUM;381;BUSSUM;Rooms-Katholiek;356911011;www.kmsbussum.nl
25833;Ver. Bas.ond. Geref. Grondslag;Het Lint;21;4691 DK;THOLEN;716;THOLEN;Protestants-Christelijk;166606104;                                                                                
26158;Stichting Fedra;Antillenstraat;21;1944 XA;BEVERWIJK;375;BEVERWIJK;Samenwerking PC, RK;251217101;www.fedra.nl
26339;Ver. Christel. Onderw. Quercus;Binnenweg;10;2132 CT;HOOFDDORP;394;HAARLEMMERMEER;Protestants-Christelijk;235542358;www.vco-quercus.nl
26613;Sticht. Reformatorisch Onderw.;Burg Molenbroekstraat;24;2645 NK;DELFGAUW;1926;PIJNACKER-NOOTDORP;Reformatorisch;152617712;                                                                                
26626;St. Verstr. van BO/Ger. Gr.sl.;Koerheuvelweg;1;3912 AA;RHENEN;340;RHENEN;Protestants-Christelijk;317612659;                                                                                
26691;Ver. de School met de Bijbel;Oosterscheldestraat;1;4695 EN;SINT-MAARTENSDIJK;716;THOLEN;Protestants-Christelijk;166662610;www.jvanstolbergschool.org
26977;Stichting Best Onderwijs;Industrieweg;116;5683 CG;BEST;753;BEST;Samenwerking PC, RK, Alg. Bijz;499376120;www.bestonderwijs.nl
27067;Vereniging C.B.O. Lochem-Laren;Zutphenseweg;6;7241 KR;LOCHEM;262;LOCHEM;Protestants-Christelijk;573253102;www.prinshendrikschool.nl
27237;Ver. v. b.o. op G.g.s. Speuld;Garderenseweg;205;3852 NH;ERMELO;233;ERMELO;Protestants-Christelijk;577407219;www.speulderbrink.nl
27340;Ver. Bev. C. Nat. ond. Hollum;De Hagen;15;9161 BX;HOLLUM;60;AMELAND;Protestants-Christelijk;519556100;www.cbskoninginwilhelmina. nl
27770;Stichting KBA NW West;Teilingen;1;1082 JP;AMSTERDAM;363;AMSTERDAM;Samenwerking PC, RK;206182572;www.stkba.nl
27860;Ver v Chr Nat Sch Ond;Vlinderslag;62;4286 GK;ALMKERK;874;WOUDRICHEM;Protestants-Christelijk;183405303;                                                                                
27910;MarCanT St.chr.bo Centr.Twente;Oostermaat;1;7623 CS;BORNE;147;BORNE;Protestants-Christelijk;748528235;www.marcantonderwijs.nl
28147;Stg. Kathol. Onderw. Batavorum;Pascalweg;2-B;6662 NX;ELST GLD;1734;OVERBETUWE;Rooms-Katholiek;481350003;www.batavorum.nl
28212;de Vrije School N en O Nederl.;Tengnagelshoek;9-A;7201 NE;ZUTPHEN;301;ZUTPHEN;Antroposofisch;575533860;www.vsnon.nl
28420;Ver. Nat. Sch.onderw. A'dam;Hertspieghelweg;55;1055 KK;AMSTERDAM;363;AMSTERDAM;Protestants-Christelijk;206840451;www.dewiltzangh.nl
28563;Stg. Kathol. Onderw. De Streek;Horn;15;1614 LS;LUTJEBROEK;532;STEDE BROEC;Rooms-Katholiek;228524096;www.sko-destreek.nl
28601;Stg. Katholiek Basisonderwijs;Klepperman;9-nov;2401 GH;ALPHEN AAN DEN RIJN;484;ALPHEN AAN DEN RIJN;Rooms-Katholiek;172437817;www.skba.nl
28614;Stg Openlsch vh gezonde kind;Cliostraat;40;1077 KJ;AMSTERDAM;363;AMSTERDAM;Algemeen bijzonder;206442760;                                                                                
28849;Stg. v. Kath. Onderw. Aalsm.;Gerberastraat;2;1431 SG;AALSMEER;358;AALSMEER;Rooms-Katholiek;          ;www.skoa.eu
29056;Ver Stg Insth School;Buitenstouwe;6-b;7951 PL;STAPHORST;180;STAPHORST;Protestants-Christelijk;522262163;                                                                                
29473;Ver. Verstr. BO op R. Grondsl.;Marconistraat;16;4416 DE;KRUININGEN;703;REIMERSWAAL;Reformatorisch;113382674;                                                                                
29577;Ver. School Evang. Broedergem.;Zinzendorflaan;2-B;3703 CG;ZEIST;355;ZEIST;Protestants-Christelijk;306917285;www.comeniusschool.info
29771;Ver. Scholen met de Bijbel;Kerkstraat;6;5321 TN;HEDEL;263;MAASDRIEL;Protestants-Christelijk;735991783;www.dezaaierhedel.nl
29785;Sticht. Kathol. Onderw. Hulst;Steenstraat;32-A;4561 AS;HULST;677;HULST;Rooms-Katholiek;114371448;www.skohulst.nl
29810;Stichting Conexus;Panovenlaan;1;6525 DZ;NIJMEGEN;268;NIJMEGEN;Rooms-Katholiek;243733960;www.conexus.nu
29823;Ver. verstr.ond. Ger. Grondsl.;Rosierlaan;37;4413 HC;KRABBENDIJKE;703;REIMERSWAAL;Protestants-Christelijk;113503273;                                                                                
29863;Stichting R.K. Scholen Diemen;Ouddiemerlaan;106;1111 HL;DIEMEN;384;DIEMEN;Rooms-Katholiek;206981832;www.sint-petrusschool.nl
30010;Stg. voor P.C.B.O. Amersfoort;Fahrenheitstraat;50;3817 WE;AMERSFOORT;307;AMERSFOORT;Protestants-Christelijk;334648065;www.pcboamersfoort.nl
30013;Stg. Scholen v/h Rozenkruis;'s-Gravesandelaan;15;1222 SX;HILVERSUM;402;HILVERSUM;Algemeen bijzonder;356832913;                                                                                
30015;Ver. Oecumen. Onderw. in Maarn;Breeschotenlaan;26;3951 VL;MAARN;1581;UTRECHTSE HEUVELRUG;Algemeen bijzonder;343442358;www.deladder.nl
30027;Stichting de Vrije School;Mimosaplein;1;5643 CJ;EINDHOVEN;772;EINDHOVEN;Antroposofisch;402110648;www.vbs-deregenboog.nl
30044;Sticht. Schoolbest. St. Jozef;Schoolplein;2;2636 GB;SCHIPLUIDEN;1842;MIDDEN-DELFLAND;Rooms-Katholiek;153808529;www.jozefschool-schipluiden.nl
30051;Ver P-C Basisonderw. Bakkeveen;Mjumster Wei;12;9243 SJ;BAKKEVEEN;86;OPSTERLAND;Protestants-Christelijk;516541463;www.betrouwen.nl
30090;Stg. Jenaplan Onderw. Uithoorn;Arthur van Schendellaan;100-e;1422 LE;UITHOORN;451;UITHOORN;Rooms-Katholiek;297521590;www.startnest.nl
30124;Montessori-Vereniging Tholen;Zoekweg;1-a;4691 HT;THOLEN;716;THOLEN;Algemeen bijzonder;166604465;www.montessorischooldekraal.nl
30128;Ver. basisond. Ger. grondslag;De la Reystraat;38;3851 BH;ERMELO;233;ERMELO;Protestants-Christelijk;341551201;                                                                                
30133;Ver.Chr.Onderw. Hoeksche Waard;Laningpad;3;3262 JS;OUD-BEIJERLAND;584;OUD-BEIJERLAND;Reformatorisch;186615923;                                                                                
30145;Stg. Ond. Gereform. Grondslag;Clasinastraat;3;4341 ER;ARNEMUIDEN;687;MIDDELBURG;Algemeen bijzonder;118601986;                                                                                
30235;St. Prot. Chr. Onderw. Boxmeer;Oranjestraat;14;5831 CP;BOXMEER;756;BOXMEER;Protestants-Christelijk;485571518;www.depeppels.nl
30240;Sticht. QliQ Primair Onderwijs;Nieuwveld;61;5702 HW;HELMOND;794;HELMOND;Rooms-Katholiek;492477960;www.qliqprimair.nl
30263;Stg. onderw. Ger. grondslag;Stenenpad;3;4311 AJ;BRUINISSE;1676;SCHOUWEN-DUIVELAND;Algemeen bijzonder;111482201;                                                                                
30320;Stg Buitenv Montessori;Sandenburch;1-mrt;1082 GN;AMSTERDAM;363;AMSTERDAM;Algemeen bijzonder;206400982;                                                                                
30330;Ver. P-C B.o. Morra-Lioessens;Siniastrjitte;13;9134 NX;LIOESSENS;58;DONGERADEEL;Protestants-Christelijk;519321989;www.cbs-de-griffel.nl
30357;SKOZ;Gedempte Gracht;25;3894 BA;ZEEWOLDE;50;ZEEWOLDE;Rooms-Katholiek;639276505;www.sko-zeewolde.nl
30582;Stg H3O;Ln der Verenigde Naties;89;3316 AK;DORDRECHT;505;DORDRECHT;Protestants-Christelijk;788905000;www.hadrieo.nl
30673;Stg. Herv. Sch. te Voorthuiz.;G.H. Roeterdinkstraat;48;3781 CC;VOORTHUIZEN;203;BARNEVELD;Protestants-Christelijk;342475196;                                                                                
30700;Ver.Chr.Prim.Onderw.Reform.Gr.;Grevengoedlaan;109;7009 DZ;DOETINCHEM;222;DOETINCHEM;Reformatorisch;314323135;                                                                                
30701;St. Alg. Bijz. Onderw. H'stede;Van der Waalslaan;33;2105 TC;HEEMSTEDE;397;HEEMSTEDE;Algemeen bijzonder;235472737;www.basisschooldeevenaar.nl
30703;Stg. Evangelische Basisscholen;Holendrechtplein;42;1106 LP;AMSTERDAM ZUIDOOST;363;AMSTERDAM;Algemeen bijzonder;206961238;www.ebsdemorgenster.nl
30709;Stichting Hindoe Onderwijs;Abraham van Beyerenstr;56;2525 TH;'S-GRAVENHAGE;518;S GRAVENHAGE;Hindoe‹stisch;703975805;www.shon.nl
30715;Stg. Basisonderwijs Middelburg;Zuidsingel;17;4331 RR;MIDDELBURG;687;MIDDELBURG;Algemeen bijzonder;118613508;                                                                                
30725;Sticht. Islam. Basisscholen;Frankrijkstraat;79;5622 AE;EINDHOVEN;772;EINDHOVEN;Islamitisch;402460356;www.tarieq.nl
30731;SIPOR;Zegenstraat;120;3082 XZ;ROTTERDAM;599;ROTTERDAM;Islamitisch;104951580;www.sipor.nl
30824;Ver. Algemeen BO Rijnwaarden;'t Laantje;2-apr;6916 CD;TOLKAMER;196;RIJNWAARDEN;Algemeen bijzonder;316541415;www.overlaat.nl
30834;Stg Montessori Ond;Dollard;19;9204 CK;DRACHTEN;90;SMALLINGERLAND;Algemeen bijzonder;512526066;                                                                                
30835;Ver. Montessori-Ond. Westland;Madeweg;34-A;2681 PM;MONSTER;1783;WESTLAND;Algemeen bijzonder;174280821;www.ewmm.nl
30847;Stg. Montessori-/Tradit. B.O.;Forsythiastraat;1;6982 BA;DOESBURG;221;DOESBURG;Algemeen bijzonder;313476407;                                                                                
30849;St. Chr Bas.ond. Ref. Grondsl.;Louise de Colignylaan;1;2224 VT;KATWIJK ZH;537;KATWIJK;Reformatorisch;714016729;                                                                                
30853;Stg. Montessori Basisond.;Bergdravik;2;6922 HM;DUIVEN;226;DUIVEN;Algemeen bijzonder;263112470;www.montesorri-groenering.nl
30855;Stichting Vrije School Texel;Gasthuisstraat;55;1791 GK;DEN BURG;448;TEXEL;Antroposofisch;222312073;www.vrijeschooltexel.nl
30883;Stg ISA;Derkinderenstraat;86;1062 BJ;AMSTERDAM;363;AMSTERDAM;Islamitisch;205110521;                                                                                
30889;Ver. P-C Basisonderw. te Beesd;Jeugdlaan;4;4153 BE;BEESD;236;GELDERMALSEN;Protestants-Christelijk;345681732;www.lingelaar.nl
30967;Ver. een School met de Bijbel;Kamperzeedijk;18;8281 PG;GENEMUIDEN;1896;ZWARTEWATERLAND;Protestants-Christelijk;383446550;                                                                                
31017;Borgesius Stichting;Markt;32;4731 HP;OUDENBOSCH;1655;HALDERBERGE;Rooms-Katholiek;165330894;www.borgesiusstichting.nl
31019;Stichting Kievietschool;Buurtweg;16;2244 AD;WASSENAAR;629;WASSENAAR;Algemeen bijzonder;705111238;                                                                                
31032;Ver. Stg. Scholen met Bijbel;Dirk IV-plein;33;4223 NJ;HOORNAAR;689;GIESSENLANDEN;Protestants-Christelijk;183589205;www.cbssamenopweg.nl
31069;Koning Willem I College;Vlijmenseweg;2;5223 GW;'S-HERTOGENBOSCH;796;S HERTOGENBOSCH;Samenwerking RK, Alg. Bijz.;736249624;www.kw1c.nl
31075;Stichting v. Brienenoordschool;Percevalweg;4;3077 NK;ROTTERDAM;599;ROTTERDAM;Algemeen bijzonder;104828422;www.vanbrienenoordschool.nl
31076;Stg. Onderw. op Isl. grondslag;De Mulderij;10;3831 NV;LEUSDEN;327;LEUSDEN;Islamitisch;334337336;www.simonscholen.nl
31077;Stg. Verstr. Christ. Onderwijs;Molenstraat;10;2961 AL;KINDERDIJK;1927;MOLENWAARD;Protestants-Christelijk;786934887;                                                                                
31080;Stichting Islamitisch College;Eduard van Beinumlaan;61;3122 TK;SCHIEDAM;606;SCHIEDAM;Islamitisch;          ;                                                                                
31088;Sticht. Islam. Scholen Helmond;Venuslaan;29;5702 GA;HELMOND;794;HELMOND;Islamitisch;492553941;                                                                                
31089;Stg. Montessorisch. Hoogeveen;De Karn;5;7908 NX;HOOGEVEEN;118;HOOGEVEEN;Algemeen bijzonder;528220300;                                                                                
31118;Stg. Isl. Schol. Rijn en Gouwe;Marsdiep;1-mrt;2401 XA;ALPHEN AAN DEN RIJN;484;ALPHEN AAN DEN RIJN;Islamitisch;172439937;                                                                                
31162;Delftse Ver. Montess.-Onderw.;Jacoba van Beierenlaan;166;2613 JK;DELFT;503;DELFT;Algemeen bijzonder;152124800;www.montessoridelft.nl
31189;Ver. Bas.ond. Geref. Grondslag;Pijlkruid;1;3931 WX;WOUDENBERG;351;WOUDENBERG;Protestants-Christelijk;332865045;                                                                                
31204;Ver. Chr. Nat. Schoolonderwijs;Kerkhoflaan;29;6741 BN;LUNTEREN;228;EDE;Protestants-Christelijk;318487271;www.cnsdetriangel-lunteren.nl
31227;Ver. Pr. Chr. BO Duinoordsch.;Prins Mauritslaan;8;2582 LR;'S-GRAVENHAGE;518;S GRAVENHAGE;Protestants-Christelijk;703544323;www.duinoordschool.nl
31237;SKOVV;Groenendaal;7;6715 BA;EDE GLD;228;EDE;Rooms-Katholiek;318640405;www.skovv.nl
31250;Stg. Kathol. Onderw. De Zwerm;J.C. van Markenlaan;3;2285 VL;RIJSWIJK ZH;603;RIJSWIJK;Rooms-Katholiek;703643434;www.dezwerm.nl
31267;Stg. Kath. Bas.onderw. Goirle;Hoogen Dries;3;5051 WK;GOIRLE;785;GOIRLE;Rooms-Katholiek;135302548;www.skbg-goirle.nl
31280;Ver. ond. Geref. grondslag;Buizerdstraat;1;4143 BA;LEERDAM;545;LEERDAM;Protestants-Christelijk;345612802;www.calvijnschoolleerdam.nl
31384;'Stichting SKOzoK';Pastoor Jansenplein;21;5504 BS;VELDHOVEN;861;VELDHOVEN;Rooms-Katholiek;402531201;www.skozok.nl
31552;Ver Gooische Sch Laren;Oud Blaricummerweg;21-A;1251 GV;LAREN NH;417;LAREN;Algemeen bijzonder;          ;                                                                                
31657;Stichting Penta;Maelsonstraat;28;1624 NP;HOORN NH;405;HOORN;Samenwerking PC, RK;229219171;www.stichtingpenta.nl
31787;Ver. v. Christelijk Onderwijs;Lange Noordstraat;47;4331 CB;MIDDELBURG;687;MIDDELBURG;Protestants-Christelijk;118650232;www.vco-middelburg.nl
31890;Ver. verstr. OoG g.s. Borssele;Cleeuwendamme;1;4454 BX;BORSSELE;654;BORSELE;Protestants-Christelijk;113351370;                                                                                
31969;Het Timpaan;Koningin Wilhelminastr;10;7031 AC;WEHL;222;DOETINCHEM;Rooms-Katholiek;314681330;www.hettimpaan.nl
32060;St. Kath. Ond. Het Groene Lint;Wolfsdonk;6;4861 BB;CHAAM;1723;ALPHEN-CHAAM;Rooms-Katholiek;161491693;www.bs-driesprong.nl
32072;Ver. Stg. School met de Bijbel;Raadhuisstraat;38;2751 AV;MOERKAPELLE;1892;ZUIDPLAS;Reformatorisch;795931284;www.cbs-rehoboth.nl
32073;Stg. Chr. Onderw.groep Drenthe;Groningerstraat;96;9402 LL;ASSEN;106;ASSEN;Protestants-Christelijk;592409865;www.cogdrenthe.nl
32099;SRKBS Vleuten,De Meern,Haarz.;Pastoor Boelenslaan;10;3454 AB;DE MEERN;344;UTRECHT;Rooms-Katholiek;306773827;www.rkscholenvdmh.nl
32177;Stichting Kiem Onderwijs;Meerloseweg;3;5402 XH;UDEN;856;UDEN;Rooms-Katholiek;413332396;www.skogu.nl
32202;Ver. Stg. Scholen Bijbel;Johan de Kreijstraat;2;3381 DG;GIESSENBURG;689;GIESSENLANDEN;Protestants-Christelijk;184652731;                                                                                
32203;Stg. Kath. Onderwijs Ginneken;van Gaverenlaan;18;4835 CD;BREDA;758;BREDA;Rooms-Katholiek;765600332;                                                                                
32241;Ver. P.C.O. te Heerjansdam;Sportlaan;14;2995 VN;HEERJANSDAM;642;ZWIJNDRECHT;Protestants-Christelijk;          ;www.rank-heerjansdam.nl
32515;Ver. Inst./Bst. JdeWitteschool;Jan Wolkerslaan;16;2343 BK;OEGSTGEEST;579;OEGSTGEEST;Protestants-Christelijk;715175410;www.nldat.nl/cbsjorsidewitte
32580;ZICHT, Stg. Primair Onderwijs;Karbeel;16;5421 BR;GEMERT;1652;GEMERT-BAKEL;Rooms-Katholiek;492361838;www.zichtpo.nl
32631;Ver Stg Insth Sch md B;B;115;2975 BK;OTTOLAND;1927;MOLENWAARD;Protestants-Christelijk;184641364;                                                                                
32813;Christ. Schoolveren. 'Obadja';Dijkgravenstraat;5;3417 AR;MONTFOORT;335;MONTFOORT;Protestants-Christelijk;348474885;                                                                                
33034;Ver Eben Haezer Chr Sch;Hoogeind;23;4143 LW;LEERDAM;545;LEERDAM;Protestants-Christelijk;345599115;                                                                                
33151;Edese Schoolvereniging;Zuidelijke Spoorstraat;8;6711 NN;EDE GLD;228;EDE;Algemeen bijzonder;318615959;www.edeseschoolvereniging.nl
33268;Schoolveren. 'Agatha Snellen';Nicolaasdwarsstraat;3;3512 XG;UTRECHT;344;UTRECHT;Algemeen bijzonder;302313219;www.agathasnellen.nl
33424;Stg. Muz.inst. Kath. Sint Bavo;Westergracht;61;2013 ZL;HAARLEM;392;HAARLEM;Rooms-Katholiek;235311054;www.koorschoolhaarlem.nl
33645;Ver. Stg. Scholen met Bijbel;Rijnsteeg;5;6721 NP;BENNEKOM;228;EDE;Protestants-Christelijk;318430203;www.kraatsschool.nl
33853;Ver. v. Chr. Nat. Basisonderw.;Kloosterdijk;150;7693 PR;SIBCULO;160;HARDENBERG;Protestants-Christelijk;523241318;                                                                                
33957;Hallsche Schoolvereniging;Dorpsstraat;84;7025 AG;HALLE;1876;BRONCKHORST;Algemeen bijzonder;314631547;www.dorpsschoolhalle.nl
34139;Ver. Opr. Scholen met Bijbel;De Zicht;3;6744 WX;EDERVEEN;228;EDE;Reformatorisch;318571482;                                                                                
34230;Ver v BSO Gooiland;Meentweg;44;1405 JB;BUSSUM;381;BUSSUM;Algemeen bijzonder;356915994;www.gooilandschool.nl
34646;Zelfst Onderd GG Elspeet;Reijnvaanerf;7;8075 BW;ELSPEET;302;NUNSPEET;Protestants-Christelijk;577492228;                                                                                
34711;'Ver. School met de Bijbel';Pleinstraat;13-A;4126 RT;HEI- EN BOEICOP;707;ZEDERIK;Protestants-Christelijk;345642634;www.smdbhb.nl
34789;Ver. voor P-C BO Nuis/Niebert;Nieuweweg;57-B;9364 PB;NUIS;25;MARUM;Protestants-Christelijk;594589811;www.cjsdekring.nl
34893;Ver. 'Scholen met de Bijbel';Zeeweg;98;3853 LN;ERMELO;233;ERMELO;Protestants-Christelijk;341552312;                                                                                
34919;Stg. Basisonderw. Ger. Gr.slag;Gedenklaan;5;2806 KK;GOUDA;513;GOUDA;Protestants-Christelijk;182512691;                                                                                
34932;Stichting School met de Bijbel;Saenredamstraat;4;2525 TN;'S-GRAVENHAGE;518;S GRAVENHAGE;Protestants-Christelijk;703808494;www.beatrixschool.info
