PROD_CODE_VRTG;PROD_VRTG_OMS;NORM_TYD_ADM;NORM_TYD_TECH;NORM_TYD_BAAN;PROD_RDW_PROD_V;SRT_VRTG_PROD_V;LICHT_ZW_PROD_V;SRT_WERK_INSTR;WERK_INSTR_VNR;PROC_ID_PROD_V;SOORT_PROD_VRTG;B_DAT_PROD_VRTG;E_DAT_PROD_VRTG;WYZ_AANT_IND;PROD_VRTG_KLAS;ART_SL_KAPSTOK;SRT_VRTG_VORIG;LICHT_ZW_VORIG;SOORT_WERK_PROD;TYD_STEMPEL;STEEK_PR_P_PROD;MAX_ST_PR_PROD;SCH_T_WO_PROD
INVSLP-NEB;Registreren status 55-Demontage;0;0;0;;;;;0;0;A;20040308;29991231;;;;;;;3597210934;100;6;65
IPV;Intern Proces Verbaal;0;0;0;;;;;0;0;A;20030919;20140103;;;;;;;3597726987;100;4;65
KENTVERW;Kentekenverwijzing;0;0;0;;;;;0;0;A;20050714;29991231;;;;;;;3489405320;100;5;65
KLW;Kleurwijziging;0;0;0;;P;-;;0;0;A;20030718;29991231;;;;;;;3489405365;100;4;65
LBKENT;Afgifte landsbelang kenteken;0;0;0;;;;;0;0;A;20100122;29991231;;;;;;;3472972608;0;0;1
MODCVO;Modificatie obv gewijzigd CvO;0;0;0;;;;;0;0;A;20151217;29991231;;;;;;;3659349934;10;10;365
NIEUWKEN;Registreren nieuw kenteken;0;0;0;;;;;0;0;A;20040503;29991231;;;;;;;3597211750;100;4;65
NIMUIT;Nimmer uitgereikt;0;0;0;;B;Z;;0;0;A;20031205;29991231;;;;;;;3489405394;100;4;65
OMWPLVIN;Omwisselen VIN;0;0;0;;;;;0;0;A;20040610;29991231;;;;;;;3489405413;100;6;65
ONGVTEL;Ongeldig verklaren tellerstand(en);0;0;0;;;;;0;0;A;20111231;29991231;;;;;;;3595674863;100;6;65
OORSPKEN;Registreren oorspronkelijk kenteken;0;0;0;30210222;;;;0;0;A;20040503;29991231;;;;;;;3597212207;100;4;65
OORSPKENC;Correctie afgifte oorspronkelijk kenteken;0;0;0;;;;;0;0;A;20040503;29991231;;;;;;;3489405440;100;4;65
OPNTEL;Opnemen tellerstand;0;0;0;;;;;0;0;A;20111231;29991231;;;;;;;3595674641;100;6;65
OPVADVIESP;Opvoeren Adviespunten;0;0;0;;;;;0;0;A;20070816;29991231;;;;;;;3444209748;100;6;65
OPVCTEL;Opvoeren correctieve tellerstand(en);0;0;0;;;;;0;0;A;20111231;29991231;;;;;;;3595675015;100;6;65
OPVVERVTEL;Vervangen teller;0;0;0;;;;;0;0;A;20150203;29991231;;;;;;;3631968268;100;6;65
REGGASB;Registreren voertuiggegevens nav gasinbouw bedrijfsauto;0;0;0;;B;L;;0;0;A;20150401;29991231;;;;;;;3636887818;100;6;65
REGGASP;Registreren voertuiggegevens nav gasinbouw personenauto;0;0;0;;P;-;;0;0;A;20150401;29991231;;;;;;;3636887620;100;6;65
RESTIAK;IAK Centraal afhandelen;0;0;0;;;;;0;0;A;20041030;29991231;;;;;;;3325417260;0;0;35
RVI;Retour van importeur;0;0;0;;;;;0;0;A;20031205;29991231;;;;;;;3489405469;100;4;65
SCHKNT;Schonen kenteken;0;0;0;;;;;0;0;A;20041104;29991231;;;;;;;3489405482;100;4;65
SCHLBK;Schonen LB-kenteken;0;0;0;;;;;0;0;A;20100201;29991231;;;;;;;3472972774;0;0;1
SEMIA;Semi Versnelde Afgifte kentekendocument aanhangwagen;0;0;0;;A;Z;;0;0;A;20031205;29991231;;;;;;;3570014494;100;6;65
SEMIB;Semi Versnelde Afgifte Bedrijfsauto zwaar;0;0;0;;B;Z;;0;0;A;20031205;29991231;;;;;;;3570014506;100;6;65
SEMITQ;Semi Versnelde Afgifte trike en quad;0;0;0;;P;-;;0;0;A;20050224;29991231;;;;;;;3489405516;100;6;65
T100CNV;Tempo 100 conversie;0;0;0;;B;-;;0;0;A;20050512;29991231;;;;;;;3489405533;100;5;65
TENAAM;Tenaamstelling registeren;0;0;0;;;;;0;0;A;20041012;29991231;;;;;;;3570014518;100;6;65
TENAAMVT;Tenaamstelling registreren;0;0;0;;;;;0;0;A;20060929;29991231;;;;;;;3368419957;100;25;35
TRANSAL;Transitokenteken lichte aanhangwagen;0;0;0;;A;L;;0;0;A;20070101;29991231;;;;;;;3444209820;100;6;65
TRANSAZ;Transitokenteken zware aanhangwagen;0;0;0;;A;Z;;0;0;A;20070101;29991231;;;;;;;3444209829;100;6;65
TRANSBL;Transitokenteken lichte bedrijfsauto;0;0;0;;B;L;;0;0;A;20070101;29991231;;;;;;;3444209797;100;6;65
TRANSBZ;Transitokenteken zware bedrijfsauto;0;0;0;;B;Z;;0;0;A;20070101;29991231;;;;;;;3444209808;100;6;65
TRANSC;Transitokenteken Bromfiets;0;0;0;;C;-;;0;0;A;20070101;29991231;;;;;;;3444209838;100;6;65
TRANSM;Transitokenteken Motorfiets;0;0;0;;M;-;;0;0;A;20070101;29991231;;;;;;;3493028455;100;6;65
TRANSP;Transitokenteken Personenauto;0;0;0;;P;-;;0;0;A;20070101;29991231;;;;;;;3444209789;100;6;65
TRANSTQ;Transitokenteken Trike/Quad;0;0;0;;P;-;;0;0;A;20070101;29991231;;;;;;;3444209887;100;6;65
TRANSZL;Transitokenteken lichte aanhangwagen;0;0;0;;A;L;;0;0;A;29991231;29991231;;;;;;;3375102495;20;6;35
VAA;Versnelde afgifte Aanhangwagens;0;0;0;;A;-;;0;0;A;20051214;20160101;;;;;;;3660630150;0;0;35
VAB;Versnelde afgifte Bedrijfswagens;0;0;0;;B;-;;0;0;A;20051214;20160101;;;;;;;3660628690;0;0;35
VAC;Versnelde Afgifte Bromfiets;0;0;0;;C;-;;0;0;A;20050901;20160101;;;;;;;3660630119;0;0;35
VACVO;Versnelde Inschrijving obv CvO;0;0;0;;;;;0;0;A;20150527;29991231;;;;;;;3641811353;0;0;60
VAD;Versnelde afgifte Trikes en Quads;0;0;0;;P;-;;0;0;A;20121127;20160101;;;;;;;3660630140;0;0;35
VAM;Versnelde afgifte Motorfiets;0;0;0;;M;-;;0;0;A;20051013;20160101;;;;;;;3660630130;0;0;35
VAP;Versnelde afgifte Personenwagens;0;0;0;;P;-;;0;0;A;20051214;20160101;;;;;;;3660628263;0;0;35
VERWEXP;Verwijderen status 52 - export;0;0;0;;;;;0;0;A;20040308;29991231;;;;;;;3489405569;100;6;65
VERWGASB;Verwijderen voertuiggegevens nav gasuitbouw bedrijfsauto;0;0;0;;B;L;;0;0;A;20150401;29991231;;;;;;;3646455534;100;6;65
VERWGASP;Verwijderen voertuiggegevens nav gasuitbouw personenauto;0;0;0;;P;-;;0;0;A;20150401;29991231;;;;;;;3646455516;100;6;65
VERWO-V;Verwijderen ongeldig/vervallen;0;0;0;;;;;0;0;A;20040308;29991231;;;;;;;3489405582;100;6;65
VERWSLP;Verwijderen status 51 sloop;0;0;0;;;;;0;0;A;20040308;29991231;;;;;;;3489405597;100;6;65
VERWSLP55;Verwijderen status 55 - sloop;0;0;0;;;;;0;0;A;20040712;29991231;;;;;;;3493182272;100;6;65
VLKENT;Reserveren kentekennummer;0;0;0;;;;;0;0;A;20031205;29991231;;;;;;;3493182248;10;6;65
VNWNKB;Omwisselen Kentekenbewijs naar Card;0;0;0;30231105;;;;0;0;A;20140701;29991231;;;;;;;3612945772;5;20;65
VVC;Afgifte Kentekencard en Tenaamstellingscode;0;0;0;30221201;;;;0;0;A;20140101;29991231;;;;;;;3597488751;5;20;65
VVK;Vervangend Kentekendocument;0;0;0;30210401;;;;0;0;A;20030919;20140103;;;;;;;3597726974;5;20;65
VVT;Afgifte Tenaamstellingscode;0;0;0;30221202;;;;0;0;A;20140101;29991231;;;;;;;3597488331;5;20;65
WASSENAVT;Wijzigen asgegevens aanhangwagen;0;0;0;;A;-;;0;0;A;20060929;29991231;;;;;;;3368420008;100;25;35
WASSENBZVT;Wijzigen asgegevens bedrijfsauto zwaar;0;0;0;;B;Z;;0;0;A;20060929;29991231;;;;;;;3368420036;100;25;35
WINRICHTVT;Wijzigen inrichtingscode;0;0;0;;;;;0;0;A;20060929;29991231;;;;;;;3368420069;100;25;35
WYMASSAAVT;Wijzigen massa's aanhangwagen;0;0;0;;A;-;;0;0;A;20060929;29991231;;;;;;;3368420121;100;25;35
WYMASSABVT;Wijzigen massa's bedrijfsauto;0;0;0;;B;-;;0;0;A;20060929;29991231;;;;;;;3368420237;100;25;35
WYMASSAPVT;Wijzigen massa's personenauto;0;0;0;;P;-;;0;0;A;20060929;29991231;;;;;;;3368420260;100;25;35
WYMOTORBVT;Wijzigen motorgegevens bedrijfsauto;0;0;0;;B;-;;0;0;A;20060929;29991231;;;;;;;3368420288;100;25;35
WYTYPEBLVT;Wijzigen typegegevens bedrijfsauto licht;0;0;0;;B;L;;0;0;A;20060929;29991231;;;;;;;3368420317;100;25;35
WYTYPEBZVT;Wijzigen typegegevens bedrijfsauto zwaar;0;0;0;;B;Z;;0;0;A;20060929;29991231;;;;;;;3368420339;100;25;35
WYZAFMAL;Wijzigen afmetingen aanhangwagen licht;0;0;0;;A;L;;0;0;A;20040629;29991231;;;;;;;3570014535;100;6;65
WYZAFMALVT;Wijzigen afmetingen aanhangwagen licht;0;0;0;;A;L;;0;0;A;20060929;29991231;;;;;;;3368420374;100;25;35
WYZAFMAZ;Wijzigen afmetingen aanhangwagen zwaar;0;0;0;;A;Z;;0;0;A;20040629;29991231;;;;;;;3570014551;100;6;65
WYZAFMAZVT;Wijzigen afmetingen aanhangwagen zwaar;0;0;0;;A;Z;;0;0;A;20060929;29991231;;;;;;;3368420395;100;25;35
WYZAFMBL;Wijzigen afmetingen bedrijfsauto licht;0;0;0;;B;L;;0;0;A;20040629;29991231;;;;;;;3570014570;100;6;65
WYZAFMBLVT;Wijzigen afmetingen bedrijfsauto licht;0;0;0;;B;L;;0;0;A;20060929;29991231;;;;;;;3368420422;100;25;35
WYZAFMBZ;Wijzigen afmetingen bedrijfsauto zwaar;0;0;0;;B;Z;;0;0;A;20040629;29991231;;;;;;;3570014579;100;6;65
WYZAFMBZVT;Wijzigen afmetingen bedrijfsauto zwaar;0;0;0;;B;Z;;0;0;A;20060929;29991231;;;;;;;3368420444;100;25;35
WYZASSENA;Wijzigen asgegevens aanhangwagen;0;0;0;;A;-;;0;0;A;20040629;29991231;;;;;;;3570014596;100;6;65
WYZASSENBZ;Wijzigen asgegevens bedrijfsauto zwaar;0;0;0;;B;Z;;0;0;A;20040629;29991231;;;;;;;3489405675;100;6;65
WYZBPMBEL;Registreren fiscale gegevens belastingdienst;0;0;0;;;;;0;0;A;20080830;29991231;;;;;;;3597229994;100;6;65
WYZBPMM;Wijzigen BPM-gegevens met inlevering kentekendocument;0;0;0;;;;;0;0;A;20040610;20140114;;;;;;;3598679119;100;6;65
WYZBPMMVT;Wijzigen BPM-gegevens met inlevering kentekendocument;0;0;0;;;;;0;0;A;20060929;29991231;;;;;;;3368420477;100;25;35
WYZBPMZ;Wijzigen fiscale gegevens;0;0;0;;;;;0;0;A;20040610;29991231;;;;;;;3597229572;100;6;65
WYZBYZH;Wijzigen Bijzonderheden;0;0;0;;;;;0;0;A;20040610;29991231;;;;;;;3570014634;100;6;65
WYZBYZHVT;Wijzigen Bijzonderheden;0;0;0;;;;;0;0;A;20060929;29991231;;;;;;;3368420507;100;25;35
WYZINRICHT;Wijzigen inrichtingscode;0;0;0;;;;;0;0;A;20050331;29991231;;;;;;;3490616131;100;4;65
WYZMASSAA;Wijzigen massa's aanhangwagen;0;0;0;;A;-;;0;0;A;20040629;29991231;;;;;;;3491372548;100;4;65
WYZMASSAB;Wijzigen massa's bedrijfsauto;0;0;0;;B;-;;0;0;A;20040629;29991231;;;;;;;3491370364;100;4;65
WYZMASSAP;Wijzigen massa's personenauto;0;0;0;;P;-;;0;0;A;20040629;29991231;;;;;;;3491367487;100;4;65
WYZMAXSN;Wijzigen maximum snelheid;0;0;0;;B;-;;0;0;A;20050512;29991231;;;;;;;3489405779;100;5;65
WYZMILGEG;Wijzigen milieugegevens;0;0;0;;;;;0;0;A;20120929;29991231;;;;;;;3557749241;100;6;65
WYZMOTC;Wijzigen motorgegevens bromfiets;0;0;0;;C;-;;0;0;A;20050916;29991231;;;;;;;3489405790;100;5;65
WYZMOTCVT;Wijzigen motorgegevens bromfiets;0;0;0;;C;-;;0;0;A;20060929;29991231;;;;;;;3368420560;100;25;35
WYZMOTORB;Wijzigen motorgegevens bedrijfsauto;0;0;0;;B;-;;0;0;A;20040629;29991231;;;;;;;3570014653;100;6;65
WYZMOTORM;Wijzigen motorgegevens motorfiets;0;0;0;;M;-;;0;0;A;20120929;29991231;;;;;;;3557752297;100;4;65
WYZMOTORP;Wijzigen motorgegevens personenauto;0;0;0;;P;-;;0;0;A;20120929;29991231;;;;;;;3557752310;100;4;65
WYZOMBALZ;Administratieve ombouw aanhangwagen licht naar zwaar;0;0;0;;A;L;;0;0;A;20040629;20050428;;;;;;;3323678352;100;4;0
WYZOMBAZL;Administrative ombouw aanhangwagen zwaar naar licht;0;0;0;;A;Z;;0;0;A;20040629;20050428;;;;;;;3323678408;100;4;0
WYZOMBBLP;Ombouw bedrijfsauto licht naar personenauto;0;0;0;;P;-;;0;0;A;20041012;29991231;;;;;;;3419916929;100;4;35
WYZOMBBLZ;Administratieve ombouw bedrijfsauto licht naar zwaar;0;0;0;;B;L;;0;0;A;20040629;29991231;;;;;;;3489405827;100;4;65
WYZOMBBZL;Administratieve ombouw bedrijfsauto zwaar naar licht;0;0;0;;B;Z;;0;0;A;20040629;29991231;;;;;;;3489405835;100;4;65
WYZOMBPBL;Ombouw personenauto naar bedrijfsauto licht;0;0;0;;B;L;;0;0;A;20041012;29991231;;;;;;;3325418083;100;4;35
WYZPLVIN;Wijzigen (plaats) VIN;0;0;0;;;;;0;0;A;20040610;29991231;;;;;;;3570014676;100;6;65
WYZPLVINVT;Wijzigen plaats VIN;0;0;0;;;;;0;0;A;20060929;29991231;;;;;;;3378809153;100;25;35
WYZTMMA;Wijzigen toegestane maximum massa aanhangwagen;0;0;0;30210302;A;-;;0;0;A;20040629;29991231;;;;;;;3570014690;100;6;65
WYZTMMB;Wijzigen toegestane maximum massa bedrijfsauto;0;0;0;30210302;B;-;;0;0;A;20040629;29991231;;;;;;;3570014699;100;6;65
WYZTREKBL;Wijzigen trekgegevens bedrijfswagen licht;0;0;0;;B;L;;0;0;A;20040610;29991231;;;;;;;3570014713;100;6;65
WYZTREKP;Wijzigen trekgegevens personenauto;0;0;0;;;;;0;0;A;20040610;29991231;;;;;;;3570014726;100;6;65
WYZTYPEAL;Wijzigen typegegevens aanhangwagen licht;0;0;0;;A;L;;0;0;A;20040629;29991231;;;;;;;3489405901;100;4;65
WYZTYPEAZ;Wijzigen typegegevens aanhangwagen zwaar;0;0;0;;A;Z;;0;0;A;20040629;29991231;;;;;;;3489405911;100;4;65
WYZTYPEBL;Wijzigen typegegevens bedrijfsauto licht;0;0;0;;B;L;;0;0;A;20040629;29991231;;;;;;;3489405921;100;4;65
WYZTYPEBZ;Wijzigen typegegevens bedrijfsauto zwaar;0;0;0;;B;Z;;0;0;A;20040629;29991231;;;;;;;3489405928;100;4;65
WYZTYPEC;Wijzigen typegegevens bromfiets;0;0;0;;C;-;;0;0;A;20050912;29991231;;;;;;;3489405939;100;5;65
WYZTYPEM;Wijzigen typegegevens motorfiets;0;0;0;;M;-;;0;0;A;20040629;29991231;;;;;;;3489405948;100;4;65
WYZTYPEP;Wijzigen typegegevens personenauto;0;0;0;;P;-;;0;0;A;20040629;29991231;;;;;;;3489405957;100;4;65
WYZZITB;Wijzigen zit- en staanplaatsen;0;0;0;;B;-;;0;0;A;20091205;29991231;;;;;;;3490619814;100;4;65
WYZZITC;Wijzigen zitplaatsen;0;0;0;;C;-;;0;0;A;20091205;29991231;;;;;;;3490620909;100;4;65
WYZZITM;Wijzigen zitplaatsen;0;0;0;;M;-;;0;0;A;20091205;29991231;;;;;;;3490618966;100;4;65
WYZZITP;Wijzigen zitplaatsen;0;0;0;;P;-;;0;0;A;20091205;29991231;;;;;;;3490617639;100;4;65
